Country,Reported number of human rabies deaths; 2012,Reported number of human rabies deaths; 2011,Reported number of human rabies deaths; 2010
Afghanistan,No data,No data,No data
Albania,No data,No data,No data
Algeria,No data,No data,No data
Andorra,No data,No data,No data
Angola,No data,No data,No data
Antigua and Barbuda,0,No data,No data
Argentina,0,0,0
Armenia,0,0,0
Australia,No data,0,0
Austria,0,0,0
Azerbaijan,No data,No data,No data
Bahamas,0,0,0
Bahrain,0,0,0
Bangladesh,No data,No data,No data
Barbados,0,0,0
Belarus,No data,2,No data
Belgium,0,0,0
Belize,0,0,0
Benin,No data,No data,No data
Bhutan,No data,No data,No data
Bolivia (Plurinational State of),No data,No data,No data
Bosnia and Herzegovina,No data,0,No data
Botswana,No data,No data,No data
Brazil,5,3,1
Brunei Darussalam,0,0,0
Bulgaria,0,0,0
Burkina Faso,No data,No data,No data
Burundi,No data,No data,No data
Cote d'Ivoire,No data,No data,No data
Cabo Verde,0,0,No data
Cambodia,No data,No data,No data
Cameroon,No data,No data,No data
Canada,No data,0,0
Central African Republic,No data,No data,No data
Chad,No data,No data,No data
Chile,0,0,0
China,1361,1879,2014
Colombia,1,0,1
Comoros,No data,No data,No data
Congo,No data,No data,No data
Cook Islands,No data,No data,No data
Costa Rica,0,0,0
Croatia,0,0,0
Cuba,0,0,0
Cyprus,0,0,0
Czech Republic,0,0,0
Democratic People's Republic of Korea,No data,No data,No data
Democratic Republic of the Congo,No data,No data,No data
Denmark,0,0,0
Djibouti,No data,No data,No data
Dominica,0,0,0
Dominican Republic,1,0,1
Ecuador,0,0,1
Egypt,21,34,43
El Salvador,0,0,0
Equatorial Guinea,No data,No data,No data
Eritrea,No data,No data,No data
Estonia,0,0,0
Ethiopia,No data,No data,No data
Fiji,0,0,No data
Finland,0,0,0
France,0,0,0
Gabon,No data,No data,No data
Gambia,No data,No data,No data
Georgia,2,1,1
Germany,0,0,0
Ghana,No data,No data,No data
Greece,0,0,0
Grenada,0,0,0
Guatemala,0,3,1
Guinea,No data,No data,No data
Guinea-Bissau,No data,No data,No data
Guyana,No data,0,0
Haiti,No data,No data,No data
Honduras,0,0,0
Hungary,0,0,0
Iceland,No data,No data,No data
India,No data,No data,No data
Indonesia,No data,No data,No data
Iran (Islamic Republic of),6,8,4
Iraq,No data,No data,No data
Ireland,0,0,0
Israel,0,0,0
Italy,0,1,0
Jamaica,No data,0,0
Japan,0,0,0
Jordan,No data,0,0
Kazakhstan,5,10,4
Kenya,No data,No data,No data
Kiribati,No data,No data,No data
Kuwait,0,0,0
Kyrgyzstan,0,4,3
Lao People's Democratic Republic,7,No data,No data
Latvia,0,0,0
Lebanon,No data,No data,No data
Lesotho,No data,No data,No data
Liberia,No data,No data,No data
Libya,No data,No data,No data
Lithuania,0,0,0
Luxembourg,0,0,0
Madagascar,No data,No data,No data
Malawi,No data,No data,No data
Malaysia,No data,No data,No data
Maldives,No data,0,0
Mali,No data,No data,No data
Malta,0,0,0
Marshall Islands,No data,No data,No data
Mauritania,No data,No data,No data
Mauritius,0,0,0
Mexico,1,0,2
Micronesia (Federated States of),No data,No data,No data
Monaco,No data,No data,No data
Mongolia,No data,No data,No data
Montenegro,No data,No data,No data
Morocco,6,5,14
Mozambique,No data,No data,No data
Myanmar,No data,No data,No data
Namibia,No data,No data,No data
Nauru,No data,No data,No data
Nepal,No data,No data,No data
Netherlands,0,0,0
New Zealand,0,0,0
Nicaragua,0,0,0
Niger,No data,No data,No data
Nigeria,No data,No data,No data
Niue,No data,No data,No data
Norway,0,0,0
Oman,No data,No data,0
Pakistan,No data,No data,No data
Palau,No data,No data,No data
Panama,0,0,0
Papua New Guinea,No data,No data,No data
Paraguay,0,0,0
Peru,0,3,2
Philippines,213,229,299
Poland,0,0,0
Portugal,0,1,0
Qatar,0,0,0
Republic of Korea,0,0,0
Republic of Moldova,0,0,0
Romania,1,0,0
Russian Federation,No data,9,15
Rwanda,No data,No data,No data
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,0
Samoa,No data,No data,No data
San Marino,No data,No data,No data
Sao Tome and Principe,No data,No data,No data
Saudi Arabia,0,No data,No data
Senegal,6,6,15
Serbia,0,0,0
Seychelles,0,0,0
Sierra Leone,No data,No data,No data
Singapore,0,0,0
Slovakia,0,No data,0
Slovenia,No data,No data,0
Solomon Islands,No data,No data,No data
Somalia,No data,No data,No data
South Africa,14,8,12
South Sudan,No data,No data,No data
Spain,0,0,0
Sri Lanka,38,41,49
Sudan,2,5,13
Suriname,0,0,0
Swaziland,No data,No data,No data
Sweden,0,0,0
Switzerland,0,0,0
Syrian Arab Republic,5,2,1
Tajikistan,No data,No data,No data
Thailand,5,8,15
The former Yugoslav republic of Macedonia,No data,No data,0
Timor-Leste,No data,No data,No data
Togo,No data,No data,No data
Tonga,No data,No data,No data
Trinidad and Tobago,No data,No data,No data
Tunisia,No data,No data,No data
Turkey,1,2,0
Turkmenistan,No data,No data,No data
Tuvalu,No data,No data,No data
Uganda,30,37,45
Ukraine,0,4,3
United Arab Emirates,No data,No data,No data
United Kingdom of Great Britain and Northern Ireland,1,0,0
United Republic of Tanzania,2,9,17
United States of America,1,4,1
Uruguay,0,No data,0
Uzbekistan,No data,No data,No data
Vanuatu,No data,No data,No data
Venezuela (Bolivarian Republic of),0,0,0
Viet Nam,98,110,87
Yemen,No data,No data,No data
Zambia,No data,No data,No data
Zimbabwe,11,2,2
